                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,1.5493,1.9197,1.5709,0.15726,0.17988,0.09577,0.04424,2.0365,2.6948,2.0533,0.070032,0.0033298,0.0033298
2,1.607,1.9701,1.6392,0.32757,0.33631,0.28419,0.16351,1.656,1.9441,1.7517,0.039944,0.0065752,0.0065752
3,1.4942,1.7592,1.5507,0.35103,0.3078,0.266,0.1564,1.5686,1.9625,1.6689,0.0097676,0.0097326,0.0097326
4,1.4067,1.6164,1.4898,0.49056,0.42235,0.41353,0.2601,1.3656,1.4928,1.504,0.009604,0.009604,0.009604
5,1.35,1.5122,1.4492,0.49745,0.44707,0.43744,0.28812,1.3086,1.3878,1.4756,0.009472,0.009472,0.009472
6,1.3011,1.4353,1.417,0.54396,0.471,0.47258,0.3119,1.2714,1.3455,1.4303,0.00934,0.00934,0.00934
7,1.269,1.3731,1.3959,0.53558,0.48021,0.48416,0.32609,1.2375,1.2965,1.405,0.009208,0.009208,0.009208
8,1.2394,1.3247,1.3763,0.56404,0.49165,0.51313,0.35145,1.1891,1.2483,1.3786,0.009076,0.009076,0.009076
9,1.2209,1.2838,1.3609,0.60413,0.49256,0.52976,0.36421,1.1743,1.2054,1.3644,0.008944,0.008944,0.008944
10,1.2042,1.258,1.3481,0.63127,0.49919,0.54008,0.36448,1.1884,1.198,1.3697,0.008812,0.008812,0.008812
11,1.1885,1.2289,1.3407,0.60619,0.51873,0.55208,0.38987,1.1377,1.1213,1.3317,0.00868,0.00868,0.00868
12,1.1759,1.1994,1.3305,0.63446,0.50406,0.55646,0.39149,1.1207,1.1038,1.322,0.008548,0.008548,0.008548
13,1.1523,1.1723,1.315,0.65741,0.53302,0.58702,0.41055,1.1008,1.0669,1.3067,0.008416,0.008416,0.008416
14,1.1363,1.1327,1.303,0.66544,0.53076,0.59035,0.41531,1.0845,1.0322,1.2859,0.008284,0.008284,0.008284
15,1.1286,1.1203,1.2963,0.6443,0.53652,0.58649,0.41452,1.0889,1.0443,1.2963,0.008152,0.008152,0.008152
16,1.1171,1.1071,1.2907,0.65969,0.54136,0.59849,0.42416,1.0649,1.0104,1.2792,0.00802,0.00802,0.00802
